train;Gender;Nationality;PreEducation;Program;Year;BSA;Course3-1;Course9-1;Course8-1;Course7-1;Course3-R;Course9-R;Credits-B1B2;Course23;Course26;Course3;Course16;Course8;Course9;Course22;Course7;Course25;Course24;Credits-Y1
16;F;Afrika;Buitenlands;Program1;21/22;PS;5.0;3.5;2.5;;6.0;;6;6.0;;6.0;7.0;6.0;7.0;6.0;3.0;3.5;6.5;42
17;M;EU;Buitenlands;Program1;21/22;PS;6.5;4.0;3.5;;;;6;6.0;6.5;6.5;6.0;4.0;3.0;6.0;5.0;8.5;7.5;42
18;M;Nederland;Vwo;Program1;21/22;PS;6.5;5.0;3.5;7.5;;;12;2.5;6.5;6.5;6.0;4.0;6.5;6.5;7.5;6.0;6.5;48
19;M;Nederland;Vwo;Program1;21/22;PS;6.5;5.0;3.5;;;;6;6.0;7.5;6.5;7.5;3.0;7.0;6.0;5.0;6.0;6.5;48
20;F;Nederland;Overig;Program1;21/22;PS;6.5;6.0;7.0;8.0;;;24;5.0;7.0;6.5;7.0;7.5;6.5;6.5;8.0;6.5;8.5;54
21;M;Azie;Buitenlands;Program1;21/22;PS;6.0;8.5;6.0;6.0;;;24;7.0;8.5;6.0;8.0;6.5;9.0;6.0;6.0;5.0;6.0;54
22;F;Azie;Buitenlands;Program1;21/22;PS;6.0;6.5;6.0;7.5;;;24;;6.0;6.0;6.0;6.0;7.0;6.0;7.5;6.5;6.0;54
23;M;EU;Buitenlands;Program1;21/22;PS;7.0;6.0;6.0;9.5;;;24;7.0;7.0;7.0;7.5;6.5;6.5;7.5;9.5;7.0;6.0;60
24;F;EU;Buitenlands;Program1;21/22;PS;6.5;8.5;7.0;6.5;;;24;8.0;7.5;6.5;7.5;7.5;9.0;8.5;6.5;8.5;8.5;60
25;F;Nederland;Vwo;Program1;21/22;PS;7.0;6.5;6.0;7.0;;;24;6.0;7.5;7.0;8.0;6.5;7.0;6.5;7.0;8.0;7.0;60
26;M;EU;Buitenlands;Program1;21/22;PS;9.0;9.5;9.5;9.5;;;24;8.5;9.5;9.0;9.0;10.0;10.0;9.5;9.5;10.0;10.0;60
27;F;EU;Buitenlands;Program1;21/22;PS;7.5;6.0;4.5;6.0;;;18;6.0;7.0;7.5;7.0;9.0;6.5;6.5;6.0;7.0;7.5;60
28;M;Nederland;Vwo;Program1;21/22;PS;7.0;7.5;7.0;7.5;;;24;6.5;6.5;7.0;7.0;7.5;8.0;7.5;7.5;6.5;6.5;60
29;F;EU;Buitenlands;Program1;22/23;PS;7.5;;;5.0;;;6;;;7.5;6.0;;;;7.0;;8.5;24
30;F;Nederland;Vwo;Program1;22/23;NE;3.0;6.0;1.0;1.0;;;6;;;3.0;;1.0;6.5;4.0;1.0;;;6
31;M;Europa;Buitenlands;Program1;22/23;PS;7.5;9.5;9.5;9.5;;;24;10.0;9.0;7.5;8.5;10.0;10.0;9.5;9.5;8.5;10.0;60
32;M;Nederland;Vwo;Program1;22/23;PS;6.0;9.0;7.0;4.5;;;18;6.0;6.0;6.0;7.0;7.5;9.5;6.5;6.0;4.0;7.0;54
33;F;Nederland;Hbo;Program1;22/23;PS;6.0;8.0;6.5;3.5;;;18;7.0;8.5;6.0;7.0;7.0;8.5;7.0;3.5;7.0;7.0;54
34;F;EU;Buitenlands;Program1;22/23;PS;6.5;2.5;2.5;3.5;;4.5;6;;6.0;6.5;8.5;6.5;5.0;6.5;6.0;6.0;7.5;48
35;M;EU;Buitenlands;Program1;22/23;PS;6.5;6.0;4.0;5.0;;;12;2.5;6.0;6.5;6.0;5.0;6.5;6.0;8.0;7.0;8.0;48
36;F;EU;Buitenlands;Program1;22/23;PS;6.0;7.5;6.5;7.0;;;24;6.0;;6.0;7.5;7.0;8.0;7.5;7.0;8.5;8.0;54
37;M;EU;Buitenlands;Program1;22/23;NE;7.0;6.5;1.5;3.0;;;12;2.0;7.5;7.0;7.0;2.0;7.0;2.5;4.5;2.0;5.0;24
38;F;Nederland;Vwo;Program1;22/23;NE;5.0;8.0;1.5;1.5;7.0;;12;4.5;;7.0;5.0;5.0;8.5;6.5;6.0;3.5;6.5;30
39;F;EU;Buitenlands;Program1;22/23;NE;7.0;5.0;6.0;5.0;;6.5;18;;7.5;7.0;2.0;6.5;7.0;;5.0;5.0;6.0;30
40;F;Azie;Buitenlands;Program1;22/23;NE;6.5;6.0;2.5;1.0;;;12;;;6.5;6.5;3.0;6.5;2.5;1.0;1.0;;18
41;F;Afrika;Buitenlands;Program1;22/23;PS;7.5;9.0;8.0;8.5;;;24;9.0;9.0;7.5;9.0;8.5;9.5;9.0;8.5;8.5;10.0;60
42;F;Europa;Buitenlands;Program1;22/23;PS;7.5;8.5;8.5;8.0;8.0;;30;8.0;7.5;8.0;8.0;9.0;9.0;8.5;8.0;7.5;10.0;60
43;F;EU;Buitenlands;Program1;22/23;PS;7.5;8.5;9.5;7.5;7.5;;30;7.5;8.5;7.5;8.0;10.0;8.5;9.5;7.5;8.0;10.0;60
44;F;Azie;Buitenlands;Program1;22/23;PS;7.5;7.5;6.5;5.0;;;18;6.0;8.0;7.5;9.5;7.0;8.0;7.5;7.5;;8.0;54
45;F;Azie;Buitenlands;Program1;22/23;NE;5.0;1.5;1.5;1.0;6.5;1.0;6;;;6.5;4.5;2.0;1.5;3.5;1.0;;;6
46;M;Noord-Amerika;Buitenlands;Program1;22/23;NE;3.0;4.5;;;1.5;;0;;;2.0;;;5.0;;;;;0
47;F;Nederland;Vwo;Program1;22/23;PS;7.0;8.5;6.5;5.0;;;18;6.5;7.5;7.5;7.5;7.0;9.0;6.0;9.0;8.0;10.0;60
48;F;Noord-Amerika;Buitenlands;Program1;22/23;NE;6.0;4.5;4.0;2.0;;6.0;12;3.0;8.0;6.5;7.0;3.0;6.5;1.5;6.0;3.5;7.5;36
49;F;Mid-Zuid-Amerika;Buitenlands;Program1;22/23;NE;3.0;6.5;2.5;2.5;6.0;;12;;;6.5;1.0;4.0;7.0;3.0;1.0;;;12
50;F;Mid-Zuid-Amerika;Buitenlands;Program1;22/23;NE;5.0;5.0;3.5;1.5;6.5;6.0;12;;;6.0;7.5;4.0;6.5;2.0;1.5;;2.0;18
51;M;Mid-Zuid-Amerika;Buitenlands;Program1;22/23;PS;7.5;6.0;7.5;8.0;;;24;6.5;7.5;7.0;7.0;8.0;6.5;7.0;8.0;6.0;9.0;60
52;F;Mid-Zuid-Amerika;Buitenlands;Program1;22/23;PS;6.0;3.5;4.5;6.5;;6.0;18;1.0;8.0;6.5;7.5;7.0;6.5;7.0;6.5;7.5;8.5;54
53;M;Oceanie;Buitenlands;Program1;22/23;PS;7.0;8.5;3.0;4.5;;;12;8.0;8.5;7.0;7.0;3.5;9.0;7.0;6.0;8.0;6.5;54
54;F;Onbekend;Buitenlands;Program1;22/23;PS;7.5;6.5;7.5;6.0;;;24;6.0;8.0;7.0;8.5;8.0;7.0;9.0;6.0;6.0;9.0;60
55;M;Afrika;Buitenlands;Program1;22/23;NE;4.0;;1.0;;4.0;1.0;0;;;4.5;;1.0;1.5;;;;;0
56;M;Afrika;Buitenlands;Program1;22/23;PS;6.5;6.0;4.5;7.5;;;18;5.0;7.0;6.0;8.5;7.5;6.5;3.5;7.5;6.0;7.5;48
57;M;EU;Buitenlands;Program1;22/23;PS;7.5;6.5;6.5;6.0;;;24;6.0;8.0;8.0;8.0;7.0;7.0;7.0;6.0;7.5;9.5;60
58;F;Nederland;Vwo;Program1;22/23;NE;6.0;2.0;5.5;5.0;;;12;4.5;;6.5;6.0;6.0;2.5;6.0;8.5;3.5;7.0;36
59;F;Nederland;Vwo;Program1;22/23;PS;6.0;1.0;5.5;6.5;;1.0;18;4.5;8.0;6.5;6.5;6.0;1.5;6.0;6.5;8.5;7.5;48
60;F;Nederland;Vwo;Program1;22/23;PS;7.0;5.0;6.5;4.5;;7.5;18;4.0;6.0;6.5;6.0;7.0;8.0;8.0;6.5;6.5;7.5;54
61;F;Nederland;Vwo;Program1;22/23;PS;7.0;8.0;6.0;8.0;;;24;6.0;7.5;7.0;7.5;6.5;8.5;6.5;8.0;7.0;8.5;60
